0,1,2
अनु क्रमांक,कोर मेटाडेटा तत्व,परिभाषा
1,मेटाडेटा भाषा,अंग्रेज़ी
2,मेटाडेटा संपर्क,मोसडैक
3,मेटाडेटा दिनांक,"नवंबर, 2017"
4,डेटा वंश या गुणवत्ता,जीपीएस-व्युत्पन्न एकीकृत जल वाष्प।
5,शीर्षक,जीपीएस-व्युत्पन्न एकीकृत जल वाष्प (भारतीय क्षेत्र)
6,सार,"इस डेटासेट में GAGAN TEC नेटवर्क वाले GPS रिसीवर से प्राप्त एकीकृत जल वाष्प (IWV) अनुमान शामिल हैं। ये रिसीवर भारत में विभिन्न स्थानों पर हवाई अड्डों पर स्थापित किए गए हैं। जेनिथ ट्रोपोस्फेरिक विलंब का अनुमान GAMIT सॉफ़्टवेयर का उपयोग करके GPS अवलोकनों से लगाया गया था। इसके अलावा, अतिरिक्त इनपुट के रूप में ईआरए-आई रीएनालिसिस से सतह के तापमान और दबाव का उपयोग करके जेडटीडी मूल्यों से आईडब्ल्यूवी का अनुमान लगाया गया था। 1 वर्ष के लिए गगन-आईडब्ल्यूवी अनुमान - मार्च 2013 से फरवरी 2014 - वर्तमान में उपलब्ध कराया गया है।"
7,डेटासेट संपर्क,"कौशिक गोपालन, जीआरडी/एओएसजी/ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद, 380015, kaushikg@sac.isro.gov.in"
8,आवृत्ति अद्यतन करें,GPS-व्युत्पन्न IWV का 1 वर्ष अब उपलब्ध है। आगे के डेटा को प्रत्येक 1 वर्ष के कैश में रुक-रुक कर जोड़ा जाएगा।
9,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
10,स्थानिक संकल्प,बिंदु डेटा
11,भाषा,अंग्रेज़ी
12,विषय श्रेणी,जीएनएसएस मौसम विज्ञान
13,कीवर्ड,"जीएनएसएस मौसम विज्ञान, जीपीएस मौसम विज्ञान, एकीकृत जल वाष्प"
14,तिथि या अवधि,मार्च 2013 से फरवरी 2014
15,जिम्मेदार पार्टी,"कौशिक गोपालन, जीआरडी/एओजीजी/ईपीएसए, अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद-380015, भारत"
16,संगठन,"अंतरिक्ष अनुप्रयोग केंद्र (इसरो), अहमदाबाद, भारत"
16a,संगठन भूमिका,तटीय क्षेत्र में उपग्रह altimeter से भूभौतिकीय पैरामीटर।
16b,व्यक्तिगत नाम,"कौशिक गोपालन, जीआरडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015, भारत। फोन: +91 79 2691 6110. ईमेल: kaushikg@sac.isro.gov.in"
16c,स्थान,"वैज्ञानिक/इंजीनियर, जीआरडी/एओएसजी/ईपीएसए, सैक (इसरो), अहमदाबाद-380015"
16d,"लंबवत सीमा (न्यूनतम मान, अधिकतम मान, इकाईऑफ़ माप, लंबवत डेटा)",एन ए
17,भौगोलिक विस्तार,भारतीय भूभाग
18,"भौगोलिक नाम, भौगोलिक पहचानकर्ता",भारतीय भूभाग
19,डिब्बा का सीमा,"lat_min: 0N, lat_max: 30N, lon_min: 60E, lon_max: 100E"
20,अस्थायी विस्तार,मार्च 2013 से फरवरी 2014
21,पहुँच अधिकार या प्रतिबंध,खुला एक्सेस
22,वितरण सूचना,ASCII प्रारूप में डेटा फ़ाइलों का ऑनलाइन डाउनलोड
23,प्रसंस्करण स्तर,स्तर 2 (कच्चे GPS डेटा से प्राप्त डेटा उत्पाद)
24,संदर्भ प्रणाली,डेटम: WGS84
