Unnamed: 0,Display name,size,modified
,viewing_ocean_from_space.pdf,10.01 मेगा बाइट,"सोम, 2020-01-27 10:00"
,Spectrum_of_India_AVIRIS-NG.pdf,27.64 मेगा बाइट,"गुरु, 2016-12-22 10:00"
,Glimspes_of_India_by_RISAT-1.pdf,88.53 मेगा बाइट,"सोम, 2015-08-31 10:00"
,Eyes_on_Waves_from_Space.pdf,6.24 मेगा बाइट,"गुरु, 2018-05-03 10:00"
,Exploring_the_Antarctic.pdf,35.11 मेगा बाइट,"बुध, 2020-02-19 10:00"
,Images_of_Moon_From_Chandrayan-1.pdf,388.48 मेगा बाइट,"गुरु, 2010-12-23 10:00"
,Chandrayan-1_Lunar_Science_Atlas.pdf,69.87 मेगा बाइट,"गुरु, 2015-04-30 10:00"
,Coral_Reef_Atlas_of_Red_Sea_Gulf_of_Aden.pdf,72.11 मेगा बाइट,"गुरु, 2018-05-03 10:00"
,Atlas_of_Sea_Ice_Trends.pdf,2.83 मेगा बाइट,"गुरु, 2012-03-01 10:00"
,Mars-atlas.pdf,35.13 मेगा बाइट,"सोम, 2015-08-31 10:00"
